source_recipe_id,recipe_name,v22_5_candidate_rows,v22_13_calc_rows,v22_13_relationship_rows,v22_13_extra_noncalc_relationship_rows,v22_5_variant_count,v22_13_variant_blocks,compatibility_status,semantic_label_review_ids,explicit_label_conflict_example,row_level_v22_13_relationship_equivalence_proven
USSR82-55,Салат из свежих огурцов,2,2,2,0,1,1,CALC_ROWS_MATCH_RELATIONSHIP_ROWS_MATCH,,,YES
USSR82-58,Салат из свежих помидоров,3,3,3,0,1,1,CALC_ROWS_MATCH_RELATIONSHIP_ROWS_MATCH,,,YES
USSR82-59,Салат из свежих помидоров и огурцов,4,4,4,0,1,1,CALC_ROWS_MATCH_RELATIONSHIP_ROWS_MATCH,,,YES
USSR82-71,Салат картофельный,3,3,3,0,1,1,CALC_ROWS_MATCH_RELATIONSHIP_ROWS_MATCH,,,YES
USSR82-95,"Салат из моркови или моркови с яблоками, финиками или черносливом",4,4,4,0,1,1,CALC_ROWS_MATCH_RELATIONSHIP_ROWS_MATCH,ING-0035 | ING-0042 | ING-0046,,NO
USSR82-101,Салат столичный,6,6,6,0,1,1,CALC_ROWS_MATCH_RELATIONSHIP_ROWS_MATCH,ING-0025 | ING-0038,,NO
USSR82-184,Фрикадельки мясные,9,9,12,3,3,3,CALC_ROWS_MATCH_V22_13_HAS_ADDITIONAL_NONCALC_RELATIONSHIPS,,,NO
USSR82-208,Рассольник ленинградский,6,6,6,0,1,1,CALC_ROWS_MATCH_RELATIONSHIP_ROWS_MATCH,ING-0030 | ING-0035,,NO
USSR82-258,Суп молочный с макаронными изделиями,15,15,15,0,3,3,CALC_ROWS_MATCH_RELATIONSHIP_ROWS_MATCH,ING-0029 | ING-0032 | ING-0034 | ING-0042,,NO
USSR82-259,Суп молочный с крупой,36,36,36,0,3,3,CALC_ROWS_MATCH_RELATIONSHIP_ROWS_MATCH,ING-0020 | ING-0032 | ING-0034 | ING-0042,,NO
USSR82-260,Суп молочный с тыквой и крупой,20,20,20,0,3,3,CALC_ROWS_MATCH_RELATIONSHIP_ROWS_MATCH,ING-0032 | ING-0034 | ING-0042,,NO
USSR82-261,Суп молочный с овощами,24,24,24,0,3,3,CALC_ROWS_MATCH_RELATIONSHIP_ROWS_MATCH,ING-0032 | ING-0034 | ING-0035,,NO
USSR82-263,Суп молочный с картофельными клецками,6,6,8,2,1,1,CALC_ROWS_MATCH_V22_13_HAS_ADDITIONAL_NONCALC_RELATIONSHIPS,ING-0032 | ING-0034,,NO
USSR82-264,Суп молочный с горохом и перловой крупой,10,10,14,4,2,2,CALC_ROWS_MATCH_V22_13_HAS_ADDITIONAL_NONCALC_RELATIONSHIPS,ING-0032 | ING-0034,,NO
USSR82-265,Пиена зупа ар спеки (суп молочный с копченостями),6,6,6,0,1,1,CALC_ROWS_MATCH_RELATIONSHIP_ROWS_MATCH,ING-0034 | ING-0035,,NO
USSR82-282,"Рис, запеченный с овощами",18,18,20,2,2,2,CALC_ROWS_MATCH_V22_13_HAS_ADDITIONAL_NONCALC_RELATIONSHIPS,ING-0032 | ING-0035 | ING-0055,,NO
USSR82-283,Овощи,20,20,20,0,3,3,CALC_ROWS_MATCH_RELATIONSHIP_ROWS_MATCH,ING-0032 | ING-0035,,NO
USSR82-284,Овощи и зелень,28,28,28,0,3,3,CALC_ROWS_MATCH_RELATIONSHIP_ROWS_MATCH,ING-0035,,NO
USSR82-286,Капуста цветная или брюссельская,3,3,3,0,1,1,CALC_ROWS_MATCH_RELATIONSHIP_ROWS_MATCH,,,YES
USSR82-287,Капуста савойская и овощи,16,16,16,0,2,2,CALC_ROWS_MATCH_RELATIONSHIP_ROWS_MATCH,ING-0035,,NO
USSR82-288,Омлет натуральный,8,8,10,2,2,2,CALC_ROWS_MATCH_V22_13_HAS_ADDITIONAL_NONCALC_RELATIONSHIPS,ING-0032 | ING-0034,,NO
USSR82-296,Уха рыбацкая,27,27,33,6,3,3,CALC_ROWS_MATCH_V22_13_HAS_ADDITIONAL_NONCALC_RELATIONSHIPS,ING-0032,,NO
USSR82-312,Ботвинья,28,28,28,0,3,3,CALC_ROWS_MATCH_RELATIONSHIP_ROWS_MATCH,ING-0042,,NO
USSR82-314,Суп из плодов свежих,46,46,46,0,9,9,CALC_ROWS_MATCH_RELATIONSHIP_ROWS_MATCH,ING-0042,,NO
USSR82-317,Суп из плодов или ягод сушеных,87,87,87,0,17,17,CALC_ROWS_MATCH_RELATIONSHIP_ROWS_MATCH,ING-0042,,NO
