external_ingredient_id,v22_13_external_name,v22_5_canonical_labels,v22_5_original_labels,external_exactness_tier,map_state,familyfoodos_food_code,mapping_confidence,candidate_recipe_count,candidate_recipe_ids,candidate_row_count,candidate_input_mass_g,simple_candidate_recipe_count,simple_candidate_recipe_ids,semantic_compatibility_status,accepted_identity_mapping_status,current_profile_presence_status,profile_suitability_for_recipe_form,authority_source_candidate,authority_record_candidate,authority_assignment_status,authority_search_strategy,rights_status,production_ready,proposed_dc2_batch
ING-0006,Вода,Вода,Вода,B_REFERENCE,ALIAS_EXISTING,WATER,HIGH,24,USSR82-1081 | USSR82-258 | USSR82-259 | USSR82-260 | USSR82-261 | USSR82-263 | USSR82-264 | USSR82-265 | USSR82-296 | USSR82-314 | USSR82-317 | USSR82-318 | USSR82-319 | USSR82-320 | USSR82-361 | USSR82-412 | USSR82-413 | USSR82-414 | USSR82-451 | USSR82-468 | USSR82-469 | USSR82-470 | USSR82-658 | USSR82-669,99,56707,0,,LABEL_MATCH_OR_COMPATIBLE_TEXT,REUSE_ACCEPTED_MAPPING,PRESENT_IN_REQUIRED_PRODUCTION_SEED,PROFILE_PRESENT_FORM_REVIEW_REQUIRED,USDA_FDC:173647@2018-04:SR Legacy,173647,EXISTING_PROFILE_PROVENANCE_IDENTIFIED_FORM_REVIEW_REQUIRED,,OPEN_REUSE_CURRENT_PROFILE,NO,REUSE_EXISTING_PROFILE_FORM_REVIEW
ING-0009,Говядина котлетная,Говядина котлетная,Говядина (котлетное мясо),C_PROXY,NEW_FOOD_CANDIDATE,,MEDIUM,3,USSR82-184 | USSR82-658 | USSR82-669,3,1215,0,,LABEL_MATCH_OR_COMPATIBLE_TEXT,NO_ACCEPTED_FAMILYFOODOS_IDENTITY_YET,NOT_APPLICABLE_NO_ACCEPTED_FOOD_MAPPING,NOT_APPLICABLE_NO_ACCEPTED_PROFILE,,,BLOCKED_PROXY_IDENTITY_BEFORE_AUTHORITY,RESOLVE_PROXY_IDENTITY_THEN_ASSIGN_AUTHORITY,UNRESOLVED_UNTIL_IDENTITY_REVIEW,NO,DC2-C_IDENTITY_FORM_REVIEW
ING-0011,Горох лущеный,Горох лущеный,Горох лущеный,A_REFERENCE,NEW_FOOD_CANDIDATE,,MEDIUM,1,USSR82-264,2,280,0,,LABEL_MATCH_OR_COMPATIBLE_TEXT,NO_ACCEPTED_FAMILYFOODOS_IDENTITY_YET,NOT_APPLICABLE_NO_ACCEPTED_FOOD_MAPPING,NOT_APPLICABLE_NO_ACCEPTED_PROFILE,FIC_FGBUN_2024_SEARCH_TARGET,,SOURCE_FAMILY_SEARCH_TARGET_EXACT_RECORD_UNVERIFIED,SEARCH_FIC_FGBUN_THEN_PIN_EXACT_RECORD_AND_REVIEW_RIGHTS,BLOCKED_PENDING_RIGHTS_REVIEW,NO,DC2-B_STANDARD_EXTENSION
ING-0012,Горошек зеленый консервированный,Горошек зеленый консервированный,Горошек зеленый консервированный,A_REFERENCE,EXACT_EXISTING,GREEN_PEAS_CANNED,HIGH,3,USSR82-261 | USSR82-282 | USSR82-284,6,220,0,,LABEL_MATCH_OR_COMPATIBLE_TEXT,REUSE_ACCEPTED_MAPPING,PRESENT_IN_REQUIRED_PRODUCTION_SEED,PROFILE_PRESENT_FORM_REVIEW_REQUIRED,USDA_FDC:2644291@2026-04-30:Foundation,2644291,EXISTING_PROFILE_PROVENANCE_IDENTIFIED_FORM_REVIEW_REQUIRED,,OPEN_REUSE_CURRENT_PROFILE,NO,REUSE_EXISTING_PROFILE_FORM_REVIEW
ING-0013,Жир животный топленый,Жир животный топленый,Жир животный топленый,A_REFERENCE,NEW_FOOD_CANDIDATE,,MEDIUM,2,USSR82-658 | USSR82-669,3,11,0,,LABEL_MATCH_OR_COMPATIBLE_TEXT,NO_ACCEPTED_FAMILYFOODOS_IDENTITY_YET,NOT_APPLICABLE_NO_ACCEPTED_FOOD_MAPPING,NOT_APPLICABLE_NO_ACCEPTED_PROFILE,FIC_FGBUN_2024_SEARCH_TARGET,,SOURCE_FAMILY_SEARCH_TARGET_EXACT_RECORD_UNVERIFIED,SEARCH_FIC_FGBUN_THEN_PIN_EXACT_RECORD_AND_REVIEW_RIGHTS,BLOCKED_PENDING_RIGHTS_REVIEW,NO,DC2-B_STANDARD_EXTENSION
ING-0014,Жир кулинарный,Жир кулинарный,Жир для фритюра | Жир кулинарный,A_REFERENCE,NEW_FOOD_CANDIDATE,,MEDIUM,4,USSR82-355 | USSR82-361 | USSR82-364 | USSR82-720,6,131,0,,LABEL_MATCH_OR_COMPATIBLE_TEXT,NO_ACCEPTED_FAMILYFOODOS_IDENTITY_YET,NOT_APPLICABLE_NO_ACCEPTED_FOOD_MAPPING,NOT_APPLICABLE_NO_ACCEPTED_PROFILE,FIC_FGBUN_2024_SEARCH_TARGET,,SOURCE_FAMILY_SEARCH_TARGET_EXACT_RECORD_UNVERIFIED,SEARCH_FIC_FGBUN_THEN_PIN_EXACT_RECORD_AND_REVIEW_RIGHTS,BLOCKED_PENDING_RIGHTS_REVIEW,NO,DC2-A_HIGH_IMPACT
ING-0017,Капуста белокочанная,Капуста белокочанная,Капуста белокочанная | Капуста свежая: 40 г нетто → 30 г готовой,A_REFERENCE,EXACT_EXISTING,CABBAGE_GREEN,HIGH,5,USSR82-261 | USSR82-283 | USSR82-364 | USSR82-365 | USSR82-380,9,1357,0,,LABEL_MATCH_OR_COMPATIBLE_TEXT,REUSE_ACCEPTED_MAPPING,PRESENT_IN_REQUIRED_PRODUCTION_SEED,PROFILE_PRESENT_FORM_REVIEW_REQUIRED,USDA_FDC:2346407@2026-04-30:Foundation,2346407,EXISTING_PROFILE_PROVENANCE_IDENTIFIED_FORM_REVIEW_REQUIRED,,OPEN_REUSE_CURRENT_PROFILE,NO,REUSE_EXISTING_PROFILE_FORM_REVIEW
ING-0018,Капуста цветная,Капуста цветная,Капуста цветная,A_REFERENCE,EXACT_EXISTING,CAULIFLOWER,HIGH,4,USSR82-261 | USSR82-284 | USSR82-286 | USSR82-365,9,1153,0,,LABEL_MATCH_OR_COMPATIBLE_TEXT,REUSE_ACCEPTED_MAPPING,PRESENT_IN_REQUIRED_PRODUCTION_SEED,PROFILE_PRESENT_FORM_REVIEW_REQUIRED,USDA_FDC:2685573@2026-04-30:Foundation,2685573,EXISTING_PROFILE_PROVENANCE_IDENTIFIED_FORM_REVIEW_REQUIRED,,OPEN_REUSE_CURRENT_PROFILE,NO,REUSE_EXISTING_PROFILE_FORM_REVIEW
ING-0019,Картофель,Картофель,Картофель | Картофель для отваривания | Картофель для протирания | Картофель молодой | Картофель предварительно сваренный в кожуре | Картофель сырой | Картофель: 180 г нетто → 175 г протёртого,A_REFERENCE,EXACT_EXISTING,POTATO,HIGH,16,USSR82-101 | USSR82-208 | USSR82-261 | USSR82-263 | USSR82-265 | USSR82-296 | USSR82-323 | USSR82-324 | USSR82-325 | USSR82-326 | USSR82-351 | USSR82-355 | USSR82-374 | USSR82-380 | USSR82-462 | USSR82-71,36,8583,1,USSR82-71,LABEL_MATCH_OR_COMPATIBLE_TEXT,REUSE_ACCEPTED_MAPPING,PRESENT_IN_REQUIRED_PRODUCTION_SEED,PROFILE_PRESENT_FORM_REVIEW_REQUIRED,USDA_FDC:2346403@2026-04-30:Foundation,2346403,EXISTING_PROFILE_PROVENANCE_IDENTIFIED_FORM_REVIEW_REQUIRED,,OPEN_REUSE_CURRENT_PROFILE,NO,REUSE_EXISTING_PROFILE_FORM_REVIEW
ING-0020,Крупа гречневая ядрица,Крупа гречневая,Гречневая крупа | Крупа гречневая,A_REFERENCE,ALIAS_EXISTING,BUCKWHEAT,HIGH,2,USSR82-259 | USSR82-418,4,320,0,,V22_5_V22_13_LABEL_DIFFERENCE_REVIEW_REQUIRED,REUSE_ACCEPTED_MAPPING,PRESENT_IN_REQUIRED_PRODUCTION_SEED,PROFILE_PRESENT_FORM_REVIEW_REQUIRED,USDA_FDC:2512378@2026-04-30:Foundation,2512378,EXISTING_PROFILE_PROVENANCE_IDENTIFIED_FORM_REVIEW_REQUIRED,,OPEN_REUSE_CURRENT_PROFILE,NO,REUSE_EXISTING_PROFILE_FORM_REVIEW
