source_recipe_id,source_ingredient_text,normalized_concept,existing_food_ingredient_code,resolution_status,missing_reason
CACFP6-SOUTHWEST-TOFU-SCRAMBLE,"1 cup or 7 oz Quinoa, uncooked",quinoa,QUINOA,RESOLVED_EXISTING,
CACFP6-SOUTHWEST-TOFU-SCRAMBLE,1 ½ cups Water,water,WATER,RESOLVED_EXISTING,
CACFP6-SOUTHWEST-TOFU-SCRAMBLE,1 tsp Olive oil,olive_oil,OLIVE_OIL,RESOLVED_EXISTING,
CACFP6-SOUTHWEST-TOFU-SCRAMBLE,2 ½ cups or 1 lb Firm tofu,tofu_firm,TOFU_FIRM,RESOLVED_EXISTING,
CACFP6-SOUTHWEST-TOFU-SCRAMBLE,"2 tsp Garlic, minced",garlic,GARLIC,RESOLVED_EXISTING,
CACFP6-SOUTHWEST-TOFU-SCRAMBLE,1 tsp Ground cumin,cumin_ground,CUMIN_GROUND,RESOLVED_EXISTING,
CACFP6-SOUTHWEST-TOFU-SCRAMBLE,¼ tsp Red pepper flakes,red_pepper_flakes,RED_PEPPER_FLAKES,RESOLVED_EXISTING,
CACFP6-SOUTHWEST-TOFU-SCRAMBLE,½ tsp Salt,salt,SALT,RESOLVED_EXISTING,
CACFP6-SOUTHWEST-TOFU-SCRAMBLE,¼ tsp Black pepper,black_pepper,BLACK_PEPPER,RESOLVED_EXISTING,
CACFP6-SOUTHWEST-TOFU-SCRAMBLE,½ tsp Curry powder,curry_powder,CURRY_POWDER,RESOLVED_EXISTING,
CACFP6-SOUTHWEST-TOFU-SCRAMBLE,½ tsp Turmeric,turmeric_ground,TURMERIC_GROUND,RESOLVED_EXISTING,
CACFP6-SOUTHWEST-TOFU-SCRAMBLE,"1 cup or 6 oz Fresh red bell pepper, diced",bell_pepper_red,BELL_PEPPER_RED,RESOLVED_EXISTING,
CACFP6-SOUTHWEST-TOFU-SCRAMBLE,"2 cups or 4 oz Fresh green onions, diced, tops and bottoms",green_onion,GREEN_ONION,RESOLVED_EXISTING,
CACFP6-SOUTHWEST-TOFU-SCRAMBLE,"1 qt or 4 oz Fresh spinach, coarsely chopped",spinach,SPINACH,RESOLVED_EXISTING,
CACFP6-SPICED-OATMEAL,"2 ¼ cups Milk, low-fat (1%)",milk_1_percent,MILK_1_PERCENT,RESOLVED_EXISTING,
CACFP6-SPICED-OATMEAL,2 ¼ cups Water,water,WATER,RESOLVED_EXISTING,
CACFP6-SPICED-OATMEAL,"1 Tbsp 1 tsp or 1 oz Margarine, trans-fat free",margarine,MARGARINE,RESOLVED_EXISTING,
CACFP6-SPICED-OATMEAL,2 Tbsp Agave nectar,agave_syrup,AGAVE_SYRUP,RESOLVED_EXISTING,
CACFP6-SPICED-OATMEAL,¼ tsp Vanilla extract,vanilla_extract,VANILLA_EXTRACT,RESOLVED_EXISTING,
CACFP6-SPICED-OATMEAL,⅛ tsp Ground cinnamon,cinnamon_ground,CINNAMON_GROUND,RESOLVED_EXISTING,
CACFP6-SPICED-OATMEAL,⅛ tsp Ground nutmeg,nutmeg_ground,NUTMEG_GROUND,RESOLVED_EXISTING,
CACFP6-SPICED-OATMEAL,¼ tsp Salt,salt,SALT,RESOLVED_EXISTING,
CACFP6-SPICED-OATMEAL,"2 ½ cups or 7 ½ oz Oats, rolled dry",oats_rolled,OATS_ROLLED,RESOLVED_EXISTING,
CACFP6-STRAWBERRY-SMOOTHIE-BOWL,3 cups or 1 lb 8 oz Low-fat Greek yogurt,yogurt_greek_low_fat,YOGURT_GREEK_LOW_FAT,RESOLVED_EXISTING,
CACFP6-STRAWBERRY-SMOOTHIE-BOWL,"1 qt 2 cups or 1 lb 11 oz Frozen strawberries, diced",strawberry,STRAWBERRY,RESOLVED_EXISTING,
CACFP6-STRAWBERRY-SMOOTHIE-BOWL,¼ cup or 3 oz Agave syrup,agave_syrup,AGAVE_SYRUP,RESOLVED_EXISTING,
CACFP6-STRAWBERRY-SMOOTHIE-BOWL,1 ½ tsp Vanilla extract,vanilla_extract,VANILLA_EXTRACT,RESOLVED_EXISTING,
CACFP6-BAKED-SWEET-POTATOES-APPLES,"3 cups or 12 oz Fresh sweet potatoes, diced",sweet_potato,SWEET_POTATO,RESOLVED_EXISTING,
CACFP6-BAKED-SWEET-POTATOES-APPLES,"2 Tbsp or 1 oz Margarine, trans-fat free",margarine,MARGARINE,RESOLVED_EXISTING,
CACFP6-BAKED-SWEET-POTATOES-APPLES,"1 Tbsp or ½ oz Fresh ginger, chopped",ginger,GINGER,RESOLVED_EXISTING,
CACFP6-BAKED-SWEET-POTATOES-APPLES,"½ cup or 3 oz Brown sugar, loosely packed",brown_sugar,BROWN_SUGAR,RESOLVED_EXISTING,
CACFP6-BAKED-SWEET-POTATOES-APPLES,½ tsp Ground cinnamon,cinnamon_ground,CINNAMON_GROUND,RESOLVED_EXISTING,
CACFP6-BAKED-SWEET-POTATOES-APPLES,½ tsp Ground nutmeg,nutmeg_ground,NUTMEG_GROUND,RESOLVED_EXISTING,
CACFP6-BAKED-SWEET-POTATOES-APPLES,¼ tsp Salt,salt,SALT,RESOLVED_EXISTING,
CACFP6-BAKED-SWEET-POTATOES-APPLES,½ tsp Vanilla extract,vanilla_extract,VANILLA_EXTRACT,RESOLVED_EXISTING,
CACFP6-BAKED-SWEET-POTATOES-APPLES,"1 ¼ cups or 7 oz Frozen green apples, thawed, unsweetened",apple,APPLE,RESOLVED_EXISTING,
CACFP6-BAKED-SWEET-POTATOES-APPLES,¼ cup or 2 oz Water; plus 1 ½ tsp water,water,WATER,RESOLVED_EXISTING,
CACFP6-BAKED-SWEET-POTATOES-APPLES,"¼ cup or 2 oz Orange juice concentrate, frozen, thawed",orange_juice_concentrate,ORANGE_JUICE_CONCENTRATE,RESOLVED_EXISTING,
CACFP6-BAKED-SWEET-POTATOES-APPLES,⅓ cup or 1 ¼ oz Dried cranberries or dried raisins (cranberries selected),cranberries_dried,CRANBERRIES_DRIED,RESOLVED_EXISTING,
CACFP6-BAKED-SWEET-POTATOES-APPLES,1 ½ tsp Cornstarch,cornstarch,CORNSTARCH,RESOLVED_EXISTING,
