external_ingredient_id,external_name,external_exactness_tier,map_state,familyfoodos_food_code,mapping_confidence,nutrition_profile_promoted
ING-0275,Котлеты капустные №363,C_INTERNAL_NORMATIVE_FAMILY,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0276,Техническая масса полуфабриката/готового компонента,X_TECHNICAL,REJECT_TECHNICAL,,HIGH,NO
ING-0277,Каша рассыпчатая базовая (табл. 8),UNRESOLVED,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0278,Каша вязкая базовая (табл. 8),UNRESOLVED,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0279,Каша жидкая базовая (табл. 8),UNRESOLVED,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0280,Каша-концентрат,C_PROXY,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0281,Хлопья или воздушные зерна,UNRESOLVED,FORM_SPLIT_CANDIDATE,,HIGH,NO
ING-0282,Мозги,B_COMPATIBLE_REFERENCE,NEW_FOOD_CANDIDATE,,MEDIUM,NO
ING-0283,Крупа ячневая,B_MULTI_SOURCE_REFERENCE,NEW_FOOD_CANDIDATE,,MEDIUM,NO
ING-0284,Миндаль,UNRESOLVED,ALIAS_EXISTING,ALMONDS_RAW,HIGH,NO
ING-0285,Арахис,UNRESOLVED,ALIAS_EXISTING,PEANUTS_RAW,HIGH,NO
ING-0286,Плоды консервированные без сиропа,UNRESOLVED,UNRESOLVED,,HIGH,NO
ING-0287,Цукаты,UNRESOLVED,UNRESOLVED,,HIGH,NO
ING-0288,Соус абрикосовый №903,C_PROXY,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0289,Соус клюквенный №906,C_PROXY,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0290,Соус яблочный №907,B_MULTI_SOURCE_REFERENCE,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0291,Соус из ягодного экстракта №908,UNRESOLVED,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0292,Барбарис,UNRESOLVED,UNRESOLVED,,HIGH,NO
ING-0293,Укроп и петрушка (зелень),UNRESOLVED,UNRESOLVED,,HIGH,NO
ING-0294,Яичный порошок,A_REFERENCE,FORM_SPLIT_CANDIDATE,,MEDIUM,NO
ING-0295,Хлеб ржаной,A_REFERENCE,NEW_FOOD_CANDIDATE,,MEDIUM,NO
ING-0296,Ветчина вареная,C_PROXY,FORM_SPLIT_CANDIDATE,,MEDIUM,NO
ING-0297,Колбаса вареная,C_PROXY,FORM_SPLIT_CANDIDATE,,MEDIUM,NO
ING-0298,Почки свиные или телячьи,UNRESOLVED,UNRESOLVED,,HIGH,NO
ING-0299,Соус красный с эстрагоном №835,UNRESOLVED,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0300,Омлетная смесь №467,UNRESOLVED,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0301,Омлет натуральный №467,UNRESOLVED,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0302,Яичная кашка №456,UNRESOLVED,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0303,Овощи/грибы готовые №457,UNRESOLVED,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0304,Свинина (мякоть),C_PROXY,UNRESOLVED,,HIGH,NO
ING-0305,Бобовые отварные №430,B_REFERENCE,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0306,Пюре из бобовых №437,B_REFERENCE,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0307,Бобовые сухие (группа),C_PROXY,UNRESOLVED,,HIGH,NO
ING-0308,Капуста тушеная №773,C_PROXY,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0309,Макаронные изделия отварные №442,C_INTERNAL_NORMATIVE,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0310,Шампиньоны консервированные,A_REFERENCE,FORM_SPLIT_CANDIDATE,,MEDIUM,NO
ING-0311,Козлятина (мякоть),C_PROXY,NEW_FOOD_CANDIDATE,,MEDIUM,NO
ING-0312,Телятина котлетная,C_PROXY,NEW_FOOD_CANDIDATE,,MEDIUM,NO
ING-0313,Козлятина котлетная,C_PROXY,NEW_FOOD_CANDIDATE,,MEDIUM,NO
ING-0314,Легкие говяжьи,A_REFERENCE,NEW_FOOD_CANDIDATE,,MEDIUM,NO
