canonical_code,alias,language_code
BUCKWHEAT,гречка,ru
RICE_WHITE,белый рис,ru
RICE_BROWN,коричневый рис,ru
OATS_ROLLED,овсянка,ru
MILLET,пшено,ru
BARLEY_PEARLED,перловка,ru
PASTA_DRY,макароны,ru
FLOUR_WHEAT,пшеничная мука,ru
FLOUR_WHOLE_WHEAT,цельнозерновая мука,ru
FLOUR_RYE,ржаная мука,ru
CORN_FLOUR,кукурузная мука,ru
QUINOA,киноа,ru
WILD_RICE,дикий рис,ru
SUGAR,сахар,ru
LENTILS_DRY,чечевица,ru
CHICKPEAS_DRY,нут,ru
WHITE_BEANS_DRY,белая фасоль,ru
BLACK_EYED_PEAS_DRY,фасоль чёрный глаз,ru
BLACK_BEANS_CANNED,чёрная фасоль,ru
GREEN_PEAS_CANNED,зелёный горошек,ru
PEANUTS_RAW,арахис,ru
ALMONDS_RAW,миндаль,ru
WALNUTS_RAW,грецкий орех,ru
CASHEWS_RAW,кешью,ru
HAZELNUTS_RAW,фундук,ru
SUNFLOWER_SEEDS_RAW,семечки подсолнечника,ru
PUMPKIN_SEEDS_RAW,тыквенные семечки,ru
CHIA_SEEDS,чиа,ru
FLAXSEED_GROUND,льняное семя,ru
POTATO,картошка,ru
SWEET_POTATO,сладкий картофель,ru
CARROT,морковка,ru
ONION_YELLOW,репчатый лук,ru
CABBAGE_GREEN,белокочанная капуста,ru
CAULIFLOWER,цветная капуста,ru
BEET,буряк,ru
ZUCCHINI,кабачок,ru
EGGPLANT,синенькие,ru
TOMATO,помидор,ru
BELL_PEPPER_RED,красный болгарский перец,ru
CELERY,стебель сельдерея,ru
KALE,кейл,ru
LETTUCE_ROMAINE,салат романо,ru
RADISH,редиска,ru
CORN_SWEET,сладкая кукуруза,ru
GREEN_BEANS,стручковая фасоль,ru
ASPARAGUS,спаржа,ru
MUSHROOM_WHITE,белые шампиньоны,ru
PARSLEY,петрушка,ru
CILANTRO,кинза,ru
DILL_DRIED,сушёный укроп,ru
APPLE,яблоки,ru
BANANA,бананы,ru
ORANGE,апельсины,ru
MANDARIN,мандарины,ru
LEMON,лимоны,ru
PEAR,груши,ru
PEACH,персики,ru
APRICOT,абрикосы,ru
PLUM,сливы,ru
GRAPES_RED,красный виноград,ru
CHERRY_SWEET,сладкая вишня,ru
PINEAPPLE,ананасы,ru
CHICKEN_BREAST,куриное филе,ru
CHICKEN_THIGH,куриное бедро,ru
TURKEY_GROUND_93,фарш индейки,ru
BEEF_GROUND_90,говяжий фарш,ru
BEEF_TOP_ROUND,говядина для запекания,ru
PORK_LOIN,свиная корейка,ru
PORK_TENDERLOIN,вырезка свиная,ru
EGG,яйца,ru
SALMON_ATLANTIC,лосось,ru
COD_ATLANTIC,треска,ru
POLLOCK_ALASKA,минтай,ru
TUNA_CANNED_WATER,тунец в банке,ru
SHRIMP_RAW,креветки,ru
TILAPIA_RAW,тилапия,ru
MILK_WHOLE,цельное молоко,ru
MILK_2,молоко 2 процента,ru
YOGURT_PLAIN_WHOLE,натуральный йогурт,ru
YOGURT_GREEK_NONFAT,греческий йогурт,ru
COTTAGE_CHEESE_FULL_FAT,зернёный творог,ru
CHEESE_CHEDDAR,чеддер,ru
SOUR_CREAM_FULL_FAT,сметана,ru
OLIVE_OIL,оливковое масло,ru
SUNFLOWER_OIL,подсолнечное масло,ru
BUTTER_UNSALTED,сливочное масло,ru
SALT,поваренная соль,ru
BLACK_PEPPER,чёрный перец,ru
AGAVE_SYRUP,agave syrup,en
ANCHO_CHILI_POWDER,ancho chili powder,en
APPLE_CIDER_VINEGAR,apple cider vinegar,en
BAKING_POWDER,baking powder,en
BASIL_DRIED,dried basil,en
BAY_LEAF,bay leaf,en
BEEF_BROTH_LOW_SODIUM,low-sodium beef broth,en
BEEF_SHOULDER,beef shoulder,en
BELL_PEPPER_GREEN,green bell pepper,en
BREAD_WHOLE_WHEAT,whole-wheat bread,en
BREADCRUMBS,panko breadcrumbs,en
BROWN_SUGAR,brown sugar,en
BUTTERNUT_SQUASH,butternut squash,en
CABBAGE_RED,red cabbage,en
CANOLA_OIL,canola oil,en
CHEESE_CHEDDAR_REDUCED_FAT,reduced-fat cheddar cheese,en
CHEESE_MOZZARELLA_PART_SKIM,part-skim mozzarella,en
CHICKEN_BREAST_COOKED,cooked chicken breast,en
CHICKEN_BROTH_LOW_SODIUM,low-sodium chicken broth,en
CHILI_POWDER,chili powder,en
CINNAMON_GROUND,ground cinnamon,en
COCONUT_SHREDDED,shredded coconut,en
CORIANDER_SEED,coriander seed,en
CORN_CREAM_STYLE_NO_SALT,no-salt-added cream-style corn,en
CORNMEAL_WHOLE_GRAIN,white whole-grain cornmeal,en
CORNSTARCH,cornstarch,en
CRANBERRIES_DRIED,dried cranberries,en
CUMIN_GROUND,ground cumin,en
CURRY_POWDER,curry powder,en
EDAMAME_FROZEN,frozen edamame,en
EGG_WHITE,egg white,en
GARLIC_POWDER,garlic powder,en
GINGER,fresh ginger,en
GREEN_BEANS_CANNED_NO_SALT,no-salt-added canned green beans,en
GREEN_ONION,green onion,en
HONEY,honey,en
HOT_SAUCE,hot pepper sauce,en
JALAPENO,jalapeno pepper,en
KIDNEY_BEANS_CANNED_LOW_SODIUM,low-sodium canned kidney beans,en
LIME_JUICE,lime juice,en
LIME,lime zest,en
MARGARINE,margarine,en
MAYONNAISE_LOW_FAT,low-fat mayonnaise,en
MILK_1_PERCENT,one-percent milk,en
MILK_SKIM,skim milk,en
MINT_FRESH,fresh mint,en
MUSTARD_GROUND,ground mustard,en
MUSTARD_YELLOW,prepared yellow mustard,en
NUTMEG_GROUND,ground nutmeg,en
ONION_POWDER,onion powder,en
ONION_RED,red onion,en
ORANGE_JUICE_CONCENTRATE,orange juice concentrate,en
OREGANO_DRIED,dried oregano,en
PAPRIKA,paprika,en
PARSLEY_DRIED,dried parsley,en
PASTA_WHOLE_WHEAT,whole-wheat pasta,en
PIMIENTO_CANNED,canned pimiento,en
PINEAPPLE_CANNED_JUICE,pineapple canned in juice,en
PINTO_BEANS_CANNED_LOW_SODIUM,low-sodium canned pinto beans,en
POTATO_RED,red potato,en
RAISINS_GOLDEN,golden raisins,en
RED_PEPPER_FLAKES,red pepper flakes,en
ROLL_WHOLE_WHEAT,whole-wheat roll,en
ROSEMARY_DRIED,dried rosemary,en
SALSA,low-sodium salsa,en
SESAME_OIL,sesame oil,en
SESAME_SEEDS,toasted sesame seeds,en
SOUR_CREAM_LOW_FAT,low-fat sour cream,en
SOY_SAUCE_LOW_SODIUM,low-sodium soy sauce,en
THYME_DRIED,dried thyme,en
TOFU_FIRM,firm tofu,en
TOMATO_CANNED_NO_SALT,no-salt-added canned tomatoes,en
TOMATO_CRUSHED,no-salt-added crushed tomatoes,en
TOMATO_PASTE_NO_SALT,no-salt-added tomato paste,en
TORTILLA_WHOLE_WHEAT,whole-wheat tortilla,en
TURKEY_DRUMSTICK_SMOKED_COOKED,smoked turkey leg,en
TURMERIC_GROUND,ground turmeric,en
VANILLA_EXTRACT,vanilla extract,en
VEGETABLE_BROTH,low-sodium vegetable broth,en
VINEGAR_WHITE,white vinegar,en
WATER,water,en
YOGURT_GREEK_LOW_FAT,low-fat Greek yogurt,en
YOGURT_PLAIN_LOW_FAT,plain low-fat yogurt,en
