canonical_code,basis_grams,kcal,protein_g,fat_g,carbohydrates_g,fiber_g,source_name,source_id,source_version,source_data_type,source_description,energy_nutrient_id,verified_at,estimated
BUCKWHEAT,100,331.600521,11.065340,3.039000,71.130660,4.046000,USDA_FDC,2512378,2026-04-30,Foundation,"Buckwheat, whole grain",2048,2026-09-02T00:00:00Z,
RICE_WHITE,100,369.637321,7.038850,1.033000,80.313150,0.148800,USDA_FDC,2512381,2026-04-30,Foundation,"Rice, white, long grain, unenriched, raw",2048,2026-09-02T00:00:00Z,
RICE_BROWN,100,368.358475,7.253050,3.306000,76.687950,3.021000,USDA_FDC,2512380,2026-04-30,Foundation,"Rice, brown, long grain, unenriched, raw",2048,2026-09-02T00:00:00Z,
OATS_ROLLED,100,378.866123,13.496450,5.890000,68.657550,,USDA_FDC,2346396,2026-04-30,Foundation,"Oats, whole grain, rolled, old fashioned",2048,2026-09-02T00:00:00Z,
MILLET,100,380.606498,10.021770,4.194000,74.446230,2.619000,USDA_FDC,2512379,2026-04-30,Foundation,"Millet, whole grain",2048,2026-09-02T00:00:00Z,
BULGUR,100,349.301723,11.756250,2.421000,75.881750,11.720000,USDA_FDC,2710820,2026-04-30,Foundation,"Bulgur, dry, raw",2048,2026-09-02T00:00:00Z,
BARLEY_PEARLED,100,352.000000,9.910000,1.160000,77.720000,15.600000,USDA_FDC,170284,2018-04,SR Legacy,"Barley, pearled, raw",1008,2026-09-02T00:00:00Z,
PASTA_DRY,100,371.000000,13.040000,1.510000,74.670000,3.200000,USDA_FDC,168927,2018-04,SR Legacy,"Pasta, dry, unenriched",1008,2026-09-02T00:00:00Z,
FLOUR_WHEAT,100,370.000000,12.000000,1.700000,74.600000,3.000000,USDA_FDC,790018,2026-04-30,Foundation,"Flour, wheat, all-purpose, unenriched, unbleached",2048,2026-09-02T00:00:00Z,
FLOUR_WHOLE_WHEAT,100,346.000000,15.100000,2.730000,71.200000,10.600000,USDA_FDC,790085,2026-04-30,Foundation,"Flour, whole wheat, unenriched",2048,2026-09-02T00:00:00Z,
FLOUR_RYE,100,350.962038,8.395200,1.908000,77.161800,13.680000,USDA_FDC,2512375,2026-04-30,Foundation,"Flour, rye",2048,2026-09-02T00:00:00Z,
CORN_FLOUR,100,366.030110,7.562500,4.340000,76.689500,7.038000,USDA_FDC,2710835,2026-04-30,Foundation,"Corn flour, masa harina, white or yellow, dry, raw",2048,2026-09-02T00:00:00Z,
QUINOA,100,368.000000,14.120000,6.070000,64.160000,7.000000,USDA_FDC,168874,2018-04,SR Legacy,"Quinoa, uncooked",1008,2026-09-02T00:00:00Z,
WILD_RICE,100,358.552630,12.787500,1.704000,75.669500,4.260000,USDA_FDC,2710821,2026-04-30,Foundation,"Wild rice, dry, raw",2048,2026-09-02T00:00:00Z,
SUGAR,100,385.000000,0.000000,0.320000,99.600000,,USDA_FDC,746784,2026-04-30,Foundation,"Sugars, granulated",2048,2026-09-02T00:00:00Z,
LENTILS_DRY,100,350.932800,23.568750,1.925000,62.171250,,USDA_FDC,2644283,2026-04-30,Foundation,"Lentils, dry",2048,2026-09-02T00:00:00Z,
CHICKPEAS_DRY,100,371.994690,21.275000,6.274000,60.358000,,USDA_FDC,2644282,2026-04-30,Foundation,"Chickpeas, (garbanzo beans, bengal gram), dry",2048,2026-09-02T00:00:00Z,
WHITE_BEANS_DRY,100,333.000000,23.360000,0.850000,60.270000,15.200000,USDA_FDC,175202,2018-04,SR Legacy,"Beans, white, mature seeds, raw",1008,2026-09-02T00:00:00Z,
BLACK_EYED_PEAS_DRY,100,345.570300,21.225000,2.419000,61.836000,,USDA_FDC,2644284,2026-04-30,Foundation,"Blackeye pea, dry",2048,2026-09-02T00:00:00Z,
BLACK_BEANS_CANNED,100,115.282330,6.912500,1.273000,19.813500,,USDA_FDC,2644285,2026-04-30,Foundation,"Beans, black, canned, sodium added, drained and rinsed",2048,2026-09-02T00:00:00Z,
GREEN_PEAS_CANNED,100,77.798925,4.734375,1.153000,12.707625,,USDA_FDC,2644291,2026-04-30,Foundation,"Peas, green, sweet, canned, sodium added, sugar added, drained and rinsed",2048,2026-09-02T00:00:00Z,
PEANUTS_RAW,100,550.621810,23.205000,43.280000,26.498000,8.014000,USDA_FDC,2515376,2026-04-30,Foundation,"Peanuts, raw",2048,2026-09-02T00:00:00Z,
ALMONDS_RAW,100,583.597022,21.450380,51.090000,20.034620,10.780000,USDA_FDC,2346393,2026-04-30,Foundation,"Nuts, almonds, whole, raw",2048,2026-09-02T00:00:00Z,
WALNUTS_RAW,100,678.664340,14.564400,69.740000,10.909600,5.210000,USDA_FDC,2346394,2026-04-30,Foundation,"Nuts, walnuts, English, halves, raw",2048,2026-09-02T00:00:00Z,
CASHEWS_RAW,100,533.477990,17.442300,38.860000,36.288700,4.104000,USDA_FDC,2515374,2026-04-30,Foundation,"Nuts, cashew nuts, raw",2048,2026-09-02T00:00:00Z,
HAZELNUTS_RAW,100,602.394670,13.493800,53.490000,26.501200,8.410000,USDA_FDC,2515375,2026-04-30,Foundation,"Nuts, hazelnuts or filberts, raw",2048,2026-09-02T00:00:00Z,
SUNFLOWER_SEEDS_RAW,100,570.651000,18.873300,48.440000,24.500700,7.215000,USDA_FDC,2515381,2026-04-30,Foundation,"Seeds, sunflower seed, kernel, raw",2048,2026-09-02T00:00:00Z,
PUMPKIN_SEEDS_RAW,100,514.839170,29.907900,40.030000,18.675100,5.079000,USDA_FDC,2515380,2026-04-30,Foundation,"Seeds, pumpkin seeds (pepitas), raw",2048,2026-09-02T00:00:00Z,
CHIA_SEEDS,100,490.095520,17.013000,32.890000,38.273000,,USDA_FDC,2710819,2026-04-30,Foundation,"Chia seeds, dry, raw",2048,2026-09-02T00:00:00Z,
FLAXSEED_GROUND,100,514.443430,18.035900,37.280000,34.355100,23.130000,USDA_FDC,2262075,2026-04-30,Foundation,"Flaxseed, ground",2048,2026-09-02T00:00:00Z,
POTATO,100,71.575228,1.812500,0.263800,15.962400,,USDA_FDC,2346403,2026-04-30,Foundation,"Potatoes, gold, without skin, raw",2048,2026-09-02T00:00:00Z,
SWEET_POTATO,100,77.357274,1.578125,0.375000,17.327875,,USDA_FDC,2346404,2026-04-30,Foundation,"Sweet potatoes, orange flesh, without skin, raw",2048,2026-09-02T00:00:00Z,
CARROT,100,44.978589,0.941250,0.350600,10.267550,3.095000,USDA_FDC,2258586,2026-04-30,Foundation,"Carrots, mature, raw",2048,2026-09-02T00:00:00Z,
ONION_YELLOW,100,36.000000,0.830000,0.050000,8.610000,1.900000,USDA_FDC,790646,2026-04-30,Foundation,"Onions, yellow, raw",2048,2026-09-02T00:00:00Z,
